respondent_id,option
1,Supermercados
2,Supermercados
2,Lojas físicas especializadas
2,Lojas online especializadas
3,Supermercados
4,Supermercados
4,Lojas online especializadas
5,Supermercados
6,Supermercados
6,Lojas físicas especializadas
6,Lojas online especializadas
6,Diretamente em vinícolas
6,Restaurantes e bares
7,Supermercados
7,Lojas físicas especializadas
7,Diretamente em vinícolas
8,Supermercados
8,Lojas físicas especializadas
8,Restaurantes e bares
9,Supermercados
9,Lojas online especializadas
9,Diretamente em vinícolas
10,Supermercados
11,Supermercados
11,Restaurantes e bares
12,Supermercados
12,Diretamente em vinícolas
13,Supermercados
14,Supermercados
14,Diretamente em vinícolas
14,Restaurantes e bares
15,Supermercados
16,Supermercados
16,Lojas físicas especializadas
16,Lojas online especializadas
17,Supermercados
17,Lojas online especializadas
18,Supermercados
19,Supermercados
20,Supermercados
20,Lojas online especializadas
21,Supermercados
22,Supermercados
22,Lojas online especializadas
22,Diretamente em vinícolas
23,Supermercados
24,Supermercados
25,Supermercados
25,Lojas físicas especializadas
25,Lojas online especializadas
26,Supermercados
26,Lojas físicas especializadas
26,Lojas online especializadas
26,Diretamente em vinícolas
26,Restaurantes e bares
27,Supermercados
27,Restaurantes e bares
28,Supermercados
28,Lojas físicas especializadas
29,Lojas físicas especializadas
30,Lojas físicas especializadas
30,Lojas online especializadas
31,Supermercados
31,Diretamente em vinícolas
32,Diretamente em vinícolas
32,Restaurantes e bares
33,Supermercados
33,Lojas físicas especializadas
33,Lojas online especializadas
34,Lojas físicas especializadas
35,Supermercados
35,Lojas físicas especializadas
35,Lojas online especializadas
35,Diretamente em vinícolas
36,Supermercados
36,Lojas físicas especializadas
36,Lojas online especializadas
36,Diretamente em vinícolas
37,Supermercados
38,Supermercados
39,Supermercados
40,Supermercados
40,Restaurantes e bares
41,Supermercados
42,Supermercados
43,Supermercados
43,Lojas físicas especializadas
43,Lojas online especializadas
44,Supermercados
44,Lojas físicas especializadas
44,Diretamente em vinícolas
45,Lojas físicas especializadas
45,Lojas online especializadas
45,Diretamente em vinícolas
46,Supermercados
46,Lojas online especializadas
47,Supermercados
48,Supermercados
48,Lojas físicas especializadas
48,Diretamente em vinícolas
48,Restaurantes e bares
49,Supermercados
49,Lojas físicas especializadas
49,Diretamente em vinícolas
49,Restaurantes e bares
50,Supermercados
51,Supermercados
52,Supermercados
52,Restaurantes e bares
53,Lojas físicas especializadas
54,Supermercados
54,Lojas físicas especializadas
55,Supermercados
55,Restaurantes e bares
56,Supermercados
56,Diretamente em vinícolas
57,Supermercados
57,Lojas físicas especializadas
58,Supermercados
58,Lojas físicas especializadas
