respondent_id,option
1,Preço
1,Variedade
1,"Recomendação (amigos, especialistas, avaliações)"
1,Design e informação do rótulo
2,Preço
2,Região de origem
2,Variedade
2,"Recomendação (amigos, especialistas, avaliações)"
2,Práticas sustentáveis e/ou impacto ambiental
2,Curiosidade ou interesse por novos produtos
3,Preço
3,Variedade
3,"Recomendação (amigos, especialistas, avaliações)"
3,"Descrição sensorial (aroma, sabor estilo)"
3,Curiosidade ou interesse por novos produtos
4,Preço
4,Variedade
4,"Descrição sensorial (aroma, sabor estilo)"
5,Preço
5,Variedade
5,"Recomendação (amigos, especialistas, avaliações)"
5,Promoções ou descontos
6,Preço
6,Vinícola / Produtor
6,Curiosidade ou interesse por novos produtos
7,Preço
7,Região de origem
7,Variedade
8,Preço
8,Região de origem
8,Vinícola / Produtor
8,Promoções ou descontos
8,Curiosidade ou interesse por novos produtos
9,Preço
9,Região de origem
9,Variedade
9,Vinícola / Produtor
9,"Recomendação (amigos, especialistas, avaliações)"
9,"Descrição sensorial (aroma, sabor estilo)"
10,Preço
10,Variedade
10,"Recomendação (amigos, especialistas, avaliações)"
10,Promoções ou descontos
11,"Recomendação (amigos, especialistas, avaliações)"
11,Curiosidade ou interesse por novos produtos
12,Preço
12,Vinícola / Produtor
12,"Recomendação (amigos, especialistas, avaliações)"
12,"Descrição sensorial (aroma, sabor estilo)"
13,"Descrição sensorial (aroma, sabor estilo)"
14,Preço
14,Região de origem
14,Vinícola / Produtor
14,"Recomendação (amigos, especialistas, avaliações)"
14,Curiosidade ou interesse por novos produtos
15,Preço
16,Preço
16,Região de origem
16,Variedade
16,Vinícola / Produtor
16,"Recomendação (amigos, especialistas, avaliações)"
16,"Descrição sensorial (aroma, sabor estilo)"
16,Promoções ou descontos
16,Design e informação do rótulo
16,Práticas sustentáveis e/ou impacto ambiental
16,Curiosidade ou interesse por novos produtos
17,Preço
17,Região de origem
17,"Recomendação (amigos, especialistas, avaliações)"
17,Design e informação do rótulo
17,Curiosidade ou interesse por novos produtos
18,Preço
18,Promoções ou descontos
18,Design e informação do rótulo
18,Curiosidade ou interesse por novos produtos
19,"Recomendação (amigos, especialistas, avaliações)"
20,Preço
20,Vinícola / Produtor
20,"Descrição sensorial (aroma, sabor estilo)"
20,Promoções ou descontos
20,Design e informação do rótulo
20,Práticas sustentáveis e/ou impacto ambiental
20,Curiosidade ou interesse por novos produtos
21,"Descrição sensorial (aroma, sabor estilo)"
22,Preço
22,Região de origem
22,Variedade
22,Vinícola / Produtor
22,Curiosidade ou interesse por novos produtos
23,Variedade
23,Vinícola / Produtor
23,"Recomendação (amigos, especialistas, avaliações)"
23,"Descrição sensorial (aroma, sabor estilo)"
24,Preço
24,Região de origem
24,Variedade
24,"Recomendação (amigos, especialistas, avaliações)"
25,Preço
26,Preço
26,Região de origem
26,Variedade
26,Curiosidade ou interesse por novos produtos
27,Preço
27,Variedade
27,Promoções ou descontos
27,Práticas sustentáveis e/ou impacto ambiental
28,Preço
28,Região de origem
28,"Recomendação (amigos, especialistas, avaliações)"
28,Promoções ou descontos
