respondent_id,option
1,Origem das uvas (região/procedência)
1,Preço
1,Grau de inovação do produto
2,Sustentabilidade ambiental (menor impacto no cultivo)
2,Presença de certificações ou selos ambientais
2,Grau de inovação do produto
3,"Qualidade sensorial (sabor, aroma, equilíbrio)"
3,Origem das uvas (região/procedência)
3,Preço
3,Grau de inovação do produto
4,"Qualidade sensorial (sabor, aroma, equilíbrio)"
4,Sustentabilidade ambiental (menor impacto no cultivo)
5,"Qualidade sensorial (sabor, aroma, equilíbrio)"
5,Origem das uvas (região/procedência)
5,Clareza e transparência das informações no rótulo
5,Preço
6,Sustentabilidade ambiental (menor impacto no cultivo)
6,Preço
7,"Qualidade sensorial (sabor, aroma, equilíbrio)"
7,Sustentabilidade ambiental (menor impacto no cultivo)
7,Origem das uvas (região/procedência)
7,Clareza e transparência das informações no rótulo
7,Preço
8,"Qualidade sensorial (sabor, aroma, equilíbrio)"
8,Sustentabilidade ambiental (menor impacto no cultivo)
8,Origem das uvas (região/procedência)
8,Clareza e transparência das informações no rótulo
8,Presença de certificações ou selos ambientais
8,Preço
9,"Qualidade sensorial (sabor, aroma, equilíbrio)"
9,Origem das uvas (região/procedência)
9,Presença de certificações ou selos ambientais
10,"Qualidade sensorial (sabor, aroma, equilíbrio)"
10,Sustentabilidade ambiental (menor impacto no cultivo)
10,Origem das uvas (região/procedência)
10,Clareza e transparência das informações no rótulo
10,Presença de certificações ou selos ambientais
11,"Qualidade sensorial (sabor, aroma, equilíbrio)"
12,"Qualidade sensorial (sabor, aroma, equilíbrio)"
12,Clareza e transparência das informações no rótulo
12,Presença de certificações ou selos ambientais
12,Preço
13,"Qualidade sensorial (sabor, aroma, equilíbrio)"
14,"Qualidade sensorial (sabor, aroma, equilíbrio)"
14,Presença de certificações ou selos ambientais
14,Preço
15,"Qualidade sensorial (sabor, aroma, equilíbrio)"
16,"Qualidade sensorial (sabor, aroma, equilíbrio)"
16,Sustentabilidade ambiental (menor impacto no cultivo)
16,Origem das uvas (região/procedência)
16,Clareza e transparência das informações no rótulo
16,Presença de certificações ou selos ambientais
16,Preço
16,Grau de inovação do produto
17,"Qualidade sensorial (sabor, aroma, equilíbrio)"
17,Sustentabilidade ambiental (menor impacto no cultivo)
17,Origem das uvas (região/procedência)
17,Clareza e transparência das informações no rótulo
17,Presença de certificações ou selos ambientais
17,Preço
18,"Qualidade sensorial (sabor, aroma, equilíbrio)"
18,Preço
19,"Qualidade sensorial (sabor, aroma, equilíbrio)"
20,Sustentabilidade ambiental (menor impacto no cultivo)
20,Origem das uvas (região/procedência)
20,Clareza e transparência das informações no rótulo
20,Presença de certificações ou selos ambientais
20,Preço
21,"Qualidade sensorial (sabor, aroma, equilíbrio)"
21,Sustentabilidade ambiental (menor impacto no cultivo)
22,"Qualidade sensorial (sabor, aroma, equilíbrio)"
22,Origem das uvas (região/procedência)
22,Preço
22,Grau de inovação do produto
23,"Qualidade sensorial (sabor, aroma, equilíbrio)"
23,Clareza e transparência das informações no rótulo
23,Presença de certificações ou selos ambientais
24,Sustentabilidade ambiental (menor impacto no cultivo)
24,Origem das uvas (região/procedência)
25,"Qualidade sensorial (sabor, aroma, equilíbrio)"
25,Origem das uvas (região/procedência)
25,Clareza e transparência das informações no rótulo
25,Presença de certificações ou selos ambientais
25,Grau de inovação do produto
26,Sustentabilidade ambiental (menor impacto no cultivo)
26,Clareza e transparência das informações no rótulo
26,Presença de certificações ou selos ambientais
27,"Qualidade sensorial (sabor, aroma, equilíbrio)"
27,Sustentabilidade ambiental (menor impacto no cultivo)
27,Clareza e transparência das informações no rótulo
27,Presença de certificações ou selos ambientais
27,Preço
28,Sustentabilidade ambiental (menor impacto no cultivo)
28,Origem das uvas (região/procedência)
28,Clareza e transparência das informações no rótulo
28,Presença de certificações ou selos ambientais
28,Preço
29,"Qualidade sensorial (sabor, aroma, equilíbrio)"
29,Origem das uvas (região/procedência)
29,Clareza e transparência das informações no rótulo
30,"Qualidade sensorial (sabor, aroma, equilíbrio)"
30,Origem das uvas (região/procedência)
30,Presença de certificações ou selos ambientais
30,Preço
31,"Qualidade sensorial (sabor, aroma, equilíbrio)"
31,Presença de certificações ou selos ambientais
31,Preço
32,Origem das uvas (região/procedência)
32,Clareza e transparência das informações no rótulo
33,"Qualidade sensorial (sabor, aroma, equilíbrio)"
33,Clareza e transparência das informações no rótulo
33,Preço
34,"Qualidade sensorial (sabor, aroma, equilíbrio)"
35,"Qualidade sensorial (sabor, aroma, equilíbrio)"
35,Clareza e transparência das informações no rótulo
35,Presença de certificações ou selos ambientais
35,Preço
35,Grau de inovação do produto
36,"Qualidade sensorial (sabor, aroma, equilíbrio)"
36,Sustentabilidade ambiental (menor impacto no cultivo)
36,Preço
37,"Qualidade sensorial (sabor, aroma, equilíbrio)"
37,Origem das uvas (região/procedência)
38,"Qualidade sensorial (sabor, aroma, equilíbrio)"
38,Sustentabilidade ambiental (menor impacto no cultivo)
38,Origem das uvas (região/procedência)
38,Clareza e transparência das informações no rótulo
38,Preço
39,"Qualidade sensorial (sabor, aroma, equilíbrio)"
39,Clareza e transparência das informações no rótulo
40,"Qualidade sensorial (sabor, aroma, equilíbrio)"
40,Sustentabilidade ambiental (menor impacto no cultivo)
40,Presença de certificações ou selos ambientais
40,Preço
41,Sustentabilidade ambiental (menor impacto no cultivo)
42,"Qualidade sensorial (sabor, aroma, equilíbrio)"
42,Sustentabilidade ambiental (menor impacto no cultivo)
42,Clareza e transparência das informações no rótulo
42,Presença de certificações ou selos ambientais
42,Grau de inovação do produto
43,"Qualidade sensorial (sabor, aroma, equilíbrio)"
43,Sustentabilidade ambiental (menor impacto no cultivo)
43,Grau de inovação do produto
44,"Qualidade sensorial (sabor, aroma, equilíbrio)"
44,Sustentabilidade ambiental (menor impacto no cultivo)
44,Origem das uvas (região/procedência)
45,"Qualidade sensorial (sabor, aroma, equilíbrio)"
45,Sustentabilidade ambiental (menor impacto no cultivo)
45,Origem das uvas (região/procedência)
46,"Qualidade sensorial (sabor, aroma, equilíbrio)"
46,Origem das uvas (região/procedência)
46,Preço
47,"Qualidade sensorial (sabor, aroma, equilíbrio)"
47,Origem das uvas (região/procedência)
47,Preço
48,"Qualidade sensorial (sabor, aroma, equilíbrio)"
48,Sustentabilidade ambiental (menor impacto no cultivo)
48,Clareza e transparência das informações no rótulo
49,"Qualidade sensorial (sabor, aroma, equilíbrio)"
49,Sustentabilidade ambiental (menor impacto no cultivo)
49,Origem das uvas (região/procedência)
