respondent_id,option
1,Vinho branco seco
2,Vinho tinto seco
2,Vinho branco seco
2,Vinho espumante
3,Vinho tinto seco
3,Vinho branco seco
3,Vinho rosé
4,Vinho tinto seco
4,Vinho demi-sec
5,Vinho branco seco
5,Vinho espumante
5,Vinho suave
6,Não tenho preferência definida
7,Vinho tinto seco
7,Vinho branco seco
7,Vinho rosé
7,Vinho espumante
8,Vinho tinto seco
8,Vinho branco seco
8,Vinho rosé
8,Vinho espumante
8,Vinho licoroso e/ou fortificado
9,Vinho tinto seco
9,Vinho rosé
9,Vinho espumante
10,Vinho rosé
10,Vinho espumante
10,Vinho suave
11,Não tenho preferência definida
12,Vinho tinto seco
12,Vinho rosé
12,Vinho suave
12,Vinho demi-sec
13,Vinho suave
14,Vinho tinto seco
14,Vinho rosé
14,Vinho espumante
15,Vinho suave
16,Vinho tinto seco
16,Vinho branco seco
16,Vinho rosé
16,Vinho espumante
17,Vinho tinto seco
17,Vinho branco seco
17,Vinho rosé
17,Vinho espumante
18,Vinho suave
19,Vinho suave
20,Vinho tinto seco
20,Vinho branco seco
20,Vinho rosé
20,Vinho espumante
20,Vinho demi-sec
21,Vinho tinto seco
22,Vinho tinto seco
22,Vinho branco seco
22,Vinho rosé
22,Vinho espumante
22,Vinho licoroso e/ou fortificado
23,Vinho tinto seco
23,Vinho espumante
24,Vinho tinto seco
24,Vinho branco seco
24,Vinho rosé
24,Vinho espumante
24,Vinho demi-sec
25,Vinho tinto seco
25,Vinho branco seco
25,Vinho rosé
26,Vinho tinto seco
26,Vinho branco seco
26,Vinho rosé
26,Vinho espumante
26,Vinho licoroso e/ou fortificado
27,Vinho tinto seco
27,Vinho branco seco
27,Vinho rosé
28,Vinho tinto seco
28,Vinho espumante
28,Vinho demi-sec
29,Vinho tinto seco
29,Vinho rosé
29,Vinho demi-sec
30,Vinho tinto seco
30,Vinho branco seco
30,Vinho espumante
31,Vinho tinto seco
31,Vinho rosé
31,Vinho espumante
31,Vinho licoroso e/ou fortificado
32,Vinho branco seco
33,Vinho tinto seco
33,Vinho branco seco
33,Vinho espumante
34,Vinho tinto seco
35,Vinho tinto seco
35,Vinho branco seco
35,Vinho rosé
35,Vinho espumante
36,Vinho tinto seco
37,Vinho tinto seco
37,Vinho rosé
37,Vinho suave
38,Vinho tinto seco
39,Vinho espumante
39,Vinho suave
39,Vinho licoroso e/ou fortificado
40,Vinho tinto seco
40,Vinho branco seco
40,Vinho rosé
40,Vinho espumante
41,Vinho espumante
42,Vinho branco seco
42,Vinho suave
43,Vinho tinto seco
43,Vinho branco seco
43,Vinho espumante
44,Vinho tinto seco
44,Vinho branco seco
44,Vinho espumante
45,Vinho tinto seco
45,Vinho branco seco
45,Vinho rosé
45,Vinho espumante
45,Vinho demi-sec
45,Vinho licoroso e/ou fortificado
46,Vinho tinto seco
46,Vinho rosé
46,Vinho espumante
47,Vinho tinto seco
47,Vinho branco seco
47,Vinho rosé
47,Vinho espumante
48,Vinho tinto seco
48,Vinho branco seco
48,Vinho rosé
48,Vinho espumante
48,Vinho licoroso e/ou fortificado
49,Vinho tinto seco
49,Vinho branco seco
49,Vinho rosé
49,Vinho espumante
50,Vinho rosé
50,Vinho espumante
50,Vinho suave
51,Vinho rosé
51,Vinho suave
52,Vinho tinto seco
52,Vinho branco seco
52,Vinho espumante
52,Vinho suave
52,Vinho demi-sec
53,Vinho suave
54,Vinho rosé
54,Vinho suave
55,Vinho tinto seco
55,Vinho espumante
55,Vinho demi-sec
56,Vinho branco seco
56,Vinho rosé
56,Vinho espumante
57,Vinho tinto seco
57,Vinho branco seco
57,Vinho espumante
58,Não tenho preferência definida
59,Vinho tinto seco
59,Vinho branco seco
59,Vinho rosé
59,Vinho espumante
59,Vinho demi-sec
60,Vinho tinto seco
60,Vinho branco seco
60,Vinho rosé
60,Vinho espumante
60,Vinho demi-sec
61,Vinho tinto seco
61,Vinho branco seco
61,Vinho rosé
62,Vinho tinto seco
62,Vinho branco seco
62,Vinho rosé
63,Vinho tinto seco
63,Vinho branco seco
63,Vinho rosé
63,Vinho espumante
64,Vinho rosé
64,Vinho espumante
64,Vinho suave
65,Vinho tinto seco
65,Vinho branco seco
65,Vinho rosé
65,Vinho espumante
66,Vinho tinto seco
66,Vinho branco seco
66,Vinho rosé
66,Vinho espumante
67,Vinho tinto seco
67,Vinho rosé
68,Vinho rosé
68,Vinho suave
69,Vinho tinto seco
70,Vinho tinto seco
71,Vinho suave
72,Vinho tinto seco
72,Vinho branco seco
72,Vinho rosé
72,Vinho espumante
72,Vinho demi-sec
72,Vinho licoroso e/ou fortificado
73,Vinho tinto seco
73,Vinho branco seco
73,Vinho espumante
74,Vinho tinto seco
74,Vinho rosé
74,Vinho espumante
75,Vinho branco seco
75,Vinho rosé
76,Vinho tinto seco
76,Vinho branco seco
76,Vinho rosé
76,Vinho espumante
77,Vinho tinto seco
77,Vinho rosé
77,Vinho espumante
77,Vinho demi-sec
78,Vinho tinto seco
78,Vinho branco seco
78,Vinho rosé
78,Vinho espumante
78,Vinho suave
78,Vinho demi-sec
